Id,SalePrice
1461,128704.08
1462,154596.75
1463,178107.1
1464,183227.0
1465,200547.21
1466,183803.8
1467,168558.19
1468,177501.9
1469,184785.61
1470,119297.36
1471,196245.48
1472,95349.0
1473,98210.0
1474,155650.0
1475,144544.05
1476,376036.31
1477,252818.07
1478,313134.62
1479,253337.53
1480,453009.63
1481,305111.42
1482,207799.61
1483,172450.07
1484,182114.84
1485,174740.54
1486,198809.15
1487,328177.17
1488,238761.77
1489,210917.73
1490,197667.28
1491,193416.19
1492,97423.69
1493,172115.18
1494,300532.11
1495,299911.91
1496,221921.35
1497,191150.49
1498,154127.76
1499,155162.76
1500,152649.43
1501,177200.85
1502,169079.82
1503,301868.31
1504,229644.6
1505,216697.14
1506,181719.68
1507,220895.66
1508,197108.36
1509,164053.34
1510,151370.0
1511,151156.59
1512,169319.5
1513,148534.4
1514,168186.03
1515,191095.29
1516,163414.57
1517,155155.52
1518,130881.95
1519,225140.92
1520,138468.75
1521,143472.34
1522,161624.0
1523,116389.59
1524,124283.05
1525,124139.39
1526,130844.46
1527,97386.97
1528,129363.0
1529,142986.0
1530,165416.7
1531,130651.9
1532,107358.33
1533,151195.87
1534,116991.26
1535,158479.5
1536,118926.56
1537,74936.54
1538,183702.57
1539,237339.72
1540,114355.54
1541,150317.47
1542,145575.73
1543,227353.94
1544,78596.57
1545,107467.0
1546,120278.5
1547,140766.52
1548,135031.84
1549,116016.46
1550,145629.64
1551,115218.1
1552,156699.4
1553,147267.24
1554,117041.86
1555,168667.88
1556,98376.65
1557,128999.28
1558,91031.33
1559,118497.96
1560,153194.5
1561,150818.34
1562,129141.0
1563,124983.0
1564,163978.41
1565,154259.5
1566,222437.97
1567,78877.93
1568,216531.58
1569,147393.82
1570,123311.0
1571,131295.16
1572,147561.0
1573,241650.26
1574,118047.32
1575,213229.12
1576,210599.92
1577,206308.69
1578,155133.95
1579,141098.9
1580,188718.65
1581,142334.95
1582,129266.5
1583,323808.75
1584,243402.0
1585,140401.0
1586,72602.23
1587,105665.58
1588,149816.12
1589,99314.01
1590,130412.87
1591,104801.64
1592,129515.77
1593,117286.53
1594,134345.15
1595,120826.64
1596,245189.28
1597,165513.86
1598,185561.0
1599,210471.65
1600,199471.72
1601,83459.0
1602,114488.5
1603,91588.46
1604,285753.74
1605,251929.74
1606,169092.32
1607,157589.44
1608,213922.12
1609,201215.8
1610,161523.76
1611,151645.61
1612,157981.09
1613,168992.57
1614,122527.33
1615,88047.0
1616,83165.5
1617,88631.0
1618,127861.5
1619,135200.5
1620,152204.31
1621,142774.41
1622,155420.5
1623,294721.89
1624,209930.8
1625,132108.26
1626,174940.5
1627,188718.0
1628,285436.35
1629,175617.5
1630,360376.02
1631,219752.92
1632,250101.39
1633,168948.14
1634,181122.0
1635,177936.22
1636,161461.38
1637,176919.8
1638,220357.75
1639,177254.29
1640,253689.17
1641,184682.0
1642,223919.07
1643,224437.45
1644,229587.33
1645,178680.55
1646,153066.87
1647,163723.05
1648,140497.37
1649,140522.0
1650,123294.58
1651,123215.58
1652,93842.0
1653,98979.0
1654,155494.0
1655,157796.5
1656,149695.0
1657,153786.0
1658,152386.5
1659,146201.0
1660,146376.0
1661,420734.97
1662,383584.56
1663,373039.1
1664,436585.8
1665,318987.37
1666,328006.26
1667,358188.67
1668,334693.72
1669,294824.08
1670,345535.31
1671,264186.96
1672,457332.33
1673,296380.58
1674,255982.0
1675,187899.07
1676,190745.13
1677,212843.32
1678,446329.75
1679,377142.12
1680,327589.78
1681,263086.03
1682,307817.21
1683,188723.54
1684,169011.04
1685,173876.29
1686,166196.86
1687,168089.11
1688,188033.89
1689,191912.45
1690,184418.53
1691,176776.76
1692,264072.54
1693,170661.29
1694,184105.5
1695,168161.55
1696,267308.9
1697,171150.4
1698,348146.64
1699,326146.76
1700,242942.93
1701,260293.45
1702,251886.83
1703,251469.53
1704,289978.77
1705,238644.65
1706,441915.62
1707,223586.82
1708,217645.61
1709,288656.38
1710,228955.09
1711,268990.49
1712,233847.36
1713,247295.84
1714,224688.06
1715,200025.01
1716,172696.15
1717,166955.39
1718,142413.2
1719,204606.9
1720,252101.05
1721,165485.79
1722,133293.65
1723,154919.0
1724,218439.73
1725,232241.52
1726,185165.5
1727,172046.2
1728,188422.99
1729,165108.67
1730,157361.37
1731,123912.08
1732,134152.03
1733,126962.76
1734,132699.5
1735,132693.0
1736,118542.57
1737,364809.8
1738,218466.0
1739,284125.05
1740,183576.24
1741,179026.81
1742,175206.0
1743,174179.0
1744,313277.17
1745,245760.84
1746,281563.83
1747,218809.92
1748,204712.75
1749,162461.5
1750,148483.18
1751,233605.8
1752,125054.5
1753,143381.7
1754,221274.35
1755,167596.94
1756,124531.58
1757,121132.66
1758,150829.5
1759,176968.0
1760,164968.5
1761,152848.24
1762,175760.84
1763,164694.14
1764,116120.34
1765,170609.32
1766,173347.5
1767,207715.78
1768,141681.75
1769,163145.75
1770,141738.25
1771,137065.83
1772,142613.58
1773,144260.5
1774,131611.13
1775,134580.55
1776,122075.33
1777,120717.76
1778,133035.75
1779,117801.32
1780,177186.2
1781,129459.3
1782,100863.57
